Accession;Taxid;Species;Order;Status
GCA_014825455.1;56622;Pseudomyrmex pallidus;Hymenoptera;0
GCA_020010945.1;51938;Muscidifurax raptorellus;Hymenoptera;0
GCA_905475415.1;78633;Pieris napi;Lepidoptera;0
GCA_020352625.1;59379;Cactoblastis cactorum;Lepidoptera;0
GCA_016170025.1;62325;Anopheles vaneedeni;Diptera;0
GCA_004143785.1;7252;Drosophila melanica;Diptera;0
GCA_010014465.2;63976;Actias luna;Lepidoptera;0
GCA_014132275.1;63990;Samia ricini;Lepidoptera;0
GCA_905147735.1;64459;Pieris rapae;Lepidoptera;0
GCA_000956215.1;59191;Anophelesfarauti;Diptera;0
GCA_018151315.1;46793;Drosophila paulistorum;Diptera;0
GCA_004329405.1;72791;Cataglyphis niger;Hymenoptera;0
GCA_008044435.1;67533;Drosophila rufa;Diptera;0
GCA_018151095.1;67534;Drosophila triauraria;Diptera;0
GCA_008044355.1;67531;Drosophila lacteicornis;Diptera;0
GCA_018905715.1;74550;Drosophila lini;Diptera;0
GCA_002091835.1;74869;Anopheles maculatus;Diptera;0
GCA_018246115.1;76205;Graphium sarpedon;Lepidoptera;0
GCA_913698395.1;76206;Graphium doson;Lepidoptera;0
GCA_018249735.1;76208;Luehdorfia japonica;Lepidoptera;0
GCA_018904595.1;76712;Zaprionus indianus;Diptera;0
GCA_000949405.1;411798;Vollenhovia emeryi;Hymenoptera;0
GCA_001298345.1;66420;Papilio xuthus;Lepidoptera;0
GCA_008042635.1;73157;Drosophila nikananu;Diptera;0
GCA_018251375.1;73634;Calpodes ethlius;Lepidoptera;0
GCA_008042675.1;73917;Drosophila seguyi;Diptera;0
GCA_018151655.1;74549;Drosophila bocqueti;Diptera;0
GCA_001045655.1;67767;Lasius niger;Hymenoptera;0
GCA_000956235.1;64793;Wasmannia auropunctata;Hymenoptera;0
GCA_000806365.1;64838;Fopius arisanus;Hymenoptera;0
GCA_905332965.1;65598;Bombus pascuorum;Hymenoptera;0
GCA_018153365.1;65963;Drosophila fuyamai;Diptera;0
GCA_021223845.1;65964;Drosophila pseudoananassae;Diptera;0
GCA_018153035.1;65965;Drosophilapseudoananassae;Diptera;0
GCA_018231705.1;76199;Papilio bianor;Lepidoptera;0
GCA_018150985.1;76946;Chymomyza costata;Diptera;0
GCA_916049575.1;76990;Ancistrocerus nigricornis;Hymenoptera;0
GCA_900474195.1;75169;Andricus grossulariae;Hymenoptera;0
GCA_011426435.1;75917;Lysiphlebus fabarum;Hymenoptera;0
GCA_912999745.1;76193;Papilio machaon;Lepidoptera;0
GCA_000836215.1;76194;Papilio polytes;Lepidoptera;0
GCA_018230085.1;76196;Papilio protenor;Lepidoptera;0
GCA_018150345.1;46790;Drosophila equinoxialis;Diptera;0
GCA_018150745.1;46791;Drosophila sucinea;Diptera;0
GCA_018903935.1;46792;Drosophila insularis;Diptera;0
GCA_003118415.2;76198;Papilio memnon;Lepidoptera;0
GCA_932072015.1;75166;Andricus quercustozae;Hymenoptera;0
GCA_001594055.1;64791;Trachymyrmex zeteki;Hymenoptera;0
GCA_018246175.1;77252;Papilio zelicaon;Lepidoptera;0
GCA_004307685.1;78185;Ceratina australensis;Hymenoptera;0
GCA_019453975.1;78189;Exoneurella tridentata;Hymenoptera;0
GCA_932074435.1;75165;Andricus kollari;Hymenoptera;0
GCA_000441895.2;74873;Anopheles sinensis;Diptera;0
GCA_932195095.1;75152;Andricus curvator;Hymenoptera;0
GCA_932066315.1;75157;Andricus coriarius;Hymenoptera;0
GCA_900474215.1;75162;Andricus inflator;Hymenoptera;0
GCA_932526495.1;240869;Bombylius major;Diptera;0
GCA_004143805.1;7257;Drosophila robusta;Diptera;0
GCA_905163545.1;116150;Pararge aegeria;Lepidoptera;0
GCA_018907195.1;130022;Dolichoris vasculosae;Hymenoptera;0
GCA_907269045.1;104447;Idaea aversata;Lepidoptera;0
GCA_945859695.1;104428;Drepana falcataria;Lepidoptera;0
GCA_916610235.2;88514;Lasioglossum morio;Hymenoptera;0
GCA_933228785.1;88516;Lasioglossum pauxillum;Hymenoptera;0
GCA_916610255.1;88531;Lasioglossum lativentre;Hymenoptera;0
GCA_001015175.1;88686;Megaselia abdita;Diptera;0
GCA_023558455.1;88882;Drosophila kepulauana;Diptera;0
GCA_019972355.1;88883;Drosophila kohkoa;Diptera;0
GCA_023558445.1;88884;Drosophila pallidifrons;Diptera;0
GCA_021223965.1;88886;Drosophila sulfurigaster;Diptera;0
GCA_023558435.1;89887;Drosophilasulfurigaster;Diptera;0
GCA_023558465.1;89888;Drosophilasulfurigaster;Diptera;0
GCA_023558475.1;89890;Drosophilasulfurigaster;Diptera;0
GCA_023678845.1;91405;Mischocyttarus mexicanus;Hymenoptera;0
GCA_004302925.1;115425;Cochliomyia hominivorax;Diptera;0
GCA_010416925.1;91422;Polistes metricus;Hymenoptera;0
GCA_914767805.1;116130;Eupsilia transversa;Lepidoptera;0
GCA_905220545.2;113330;Mellicta athalia;Lepidoptera;0
GCA_905220565.1;113334;Melitaea cinxia;Lepidoptera;0
GCA_022539635.1;113505;Chironomus tepperi;Diptera;0
GCA_018874515.1;114631;Drosophila greeni;Diptera;0
GCA_011865705.1;115081;Megalopta genalis;Hymenoptera;0
GCA_920103875.1;111923;Melanargia galathea;Lepidoptera;0
GCA_913789895.3;115100;Seladonia tumulorum;Hymenoptera;0
GCA_910589575.2;116121;Carcina quercana;Lepidoptera;0
GCA_905163495.3;116126;Cosmia trapezina;Lepidoptera;0
GCA_001313835.1;91411;Polistes canadensis;Hymenoptera;0
GCA_937612035.1;91738;Aricia artaxerxes;Lepidoptera;0
GCA_023638675.1;104422;Camponotus pennsylvanicus;Hymenoptera;0
GCA_905333095.1;85660;Bombus hortorum;Hymenoptera;0
GCA_018246375.1;85299;Atrophaneura alcinous;Lepidoptera;0
GCA_905147365.1;91739;Aricia agestis;Lepidoptera;0
GCA_900068125.1;101932;Heliconius timareta;Lepidoptera;0
GCA_000204515.1;103372;Acromyrmex echinatior;Hymenoptera;0
GCA_008042715.1;103765;Drosophila bocki;Diptera;0
GCA_025200985.1;103775;Drosophila gunungcola;Diptera;0
GCA_020883555.1;103845;Drosophila nannoptera;Diptera;0
GCA_020883565.1;103846;Drosophila pachea;Diptera;0
GCA_011952205.1;103933;Bombus bifarius;Hymenoptera;0
GCA_003227725.1;104421;Camponotus floridanus;Hymenoptera;0
GCA_024542735.1;85661;Bombus huntii;Hymenoptera;0
GCA_000346575.1;88501;Lasioglossum albipes;Hymenoptera;0
GCA_019201815.1;85657;Bombus balteatus;Hymenoptera;0
GCA_013841245.2;88217;Apismellifera;Hymenoptera;0
Trichogramma brassicae;86971;Trichogramma brassicae;Hymenoptera;0
GCA_905163525.1;78897;Lymantria monacha;Lepidoptera;0
GCA_019845155.1;81069;Luehdorfia chinensis;Lepidoptera;0
GCA_905404145.2;82595;Biston betularia;Lepidoptera;0
GCA_003425675.2;82600;Cydia pomonella;Lepidoptera;0
GCA_000217595.1;83485;Linepithema humile;Hymenoptera;0
GCA_013186455.1;83487;Papiliodardanus;Lepidoptera;0
GCA_022818195.1;85120;Clogmia albipunctata;Diptera;0
GCA_911387935.1;85443;Dolichovespula saxonica;Hymenoptera;0
GCA_918808275.2;85444;Dolichovespula sylvestris;Hymenoptera;0
GCA_025433975.1;85445;Liostenogaster flavolineata;Hymenoptera;0
GCA_005406045.1;85585;Adoxophyes honmai;Lepidoptera;0
GCA_004143845.1;119604;Drosophila lacertosa;Diptera;0
GCA_910594895.1;189979;Bibio marci;Diptera;0
GCA_018883505.1;130011;Ceratosolen fusciceps;Hymenoptera;0
GCA_021901495.1;2961670;Neodiprion virginianus;Hymenoptera;0
GCA_947172395.1;110368;Bicyclus anynana;Lepidoptera;0
GCA_933534255.1;110791;Iphiclides podalirius;Lepidoptera;0
GCA_018247735.1;110796;Papilio clytia;Lepidoptera;0
GCA_907164705.1;110799;Parnassius apollo;Lepidoptera;0
GCA_018152175.1;111875;Drosophila jambulina;Diptera;0
GCA_905147175.2;111881;Nymphalis urticae;Lepidoptera;0
GCA_917051295.2;111903;Erebia ligea;Lepidoptera;0
GCA_933228805.2;111912;Hipparchia semele;Lepidoptera;0
GCA_928268935.1;111917;Lasiommata megera;Lepidoptera;0
GCA_932305915.1;190331;Agriopis marginaria;Lepidoptera;0
Ceratosolen corneri;130008;Ceratosolen corneri;Hymenoptera;0
GCA_911387745.1;323313;Chrysotoxum bicinctum;Diptera;0
GCA_001014505.1;315576;Chironomus riparius;Diptera;0
GCA_018907245.1;318089;Eupristina koningsbergeri;Hymenoptera;0
GCA_018290095.1;319348;Polypedilum vanderplanki;Diptera;0
GCA_905475445.1;320037;Ochropleura plecta;Lepidoptera;0
GCA_932273885.2;323312;Leucozona laternaria;Diptera;0
GCA_018245875.1;328873;Mysoria ambigua;Lepidoptera;0
GCA_021460005.1;323550;Tetramorium alpestre;Hymenoptera;0
GCA_000503995.1;326594;Ceratosolensolmsi;Hymenoptera;0
GCA_900068265.1;328831;Heliconiuscydno;Lepidoptera;0
GCA_008042735.1;109356;Drosophila leontia;Diptera;0
GCA_903653215.1;108974;Pleistodontes nigriventris;Hymenoptera;0
